lemma,lemma_freq,gloss,form,stressed_syll,monosyll,case,number,short_cluster,full_cluster,noep,ep
благодарность,6900,thanks,благода'рностью,3,FALSE,inst,sg,бл,бл,697,0
благородный,10215,noble,благоро'дным,3,FALSE,inst,sg,бл,бл,82,0
благородный,10215,noble,благоро'дными,3,FALSE,inst,pl,бл,бл,33,0
благородство,1899,nobility,благоро'дством,3,FALSE,inst,sg,бл,бл,23,0
блаженство,2936,bliss,блаже'нством,2,FALSE,inst,sg,бл,бл,22,0
ближний,7812,Middle,бли'жним,1,FALSE,inst,sg,бл,бл,64,0
ближний,7812,Middle,бли'жними,1,FALSE,inst,pl,бл,бл,70,0
ближний,7812,Middle,бли'жнего,1,FALSE,gen,sg,бл,бл,52,0
ближний,7812,Middle,бли'жних,1,FALSE,gen,pl,бл,бл,27,0
блин,2776,pancake,блина'ми,2,FALSE,inst,pl,бл,бл,29,0
блок,10698,block,бло'ком,1,FALSE,inst,sg,бл,бл,143,0
блок,10698,block,бло'ками,1,FALSE,inst,pl,бл,бл,23,0
блокнот,1515,notebook,блокно'том,2,FALSE,inst,sg,бл,бл,58,0
блюдечко,762,limpet,блю'дечка,1,FALSE,gen,sg,бл,бл,57,0
блюдо,5304,dish,блю'дом,1,FALSE,inst,sg,бл,бл,49,0
блюдо,5304,dish,блю'да,1,FALSE,gen,sg,бл,бл,37,0
блюдце,780,saucer,блю'дца,1,FALSE,gen,sg,бл,бл,29,0
брак,9704,marriage,бра'ком,1,FALSE,inst,sg,бр,бр,35,0
брань,2273,abuse,бра'нью,1,FALSE,inst,sg,бр,бр,95,0
брат,51519,brother,бра'тьями,1,FALSE,inst,pl,бр,бр,348,0
братец,6780,my boy,бра'тцем,1,FALSE,inst,sg,бр,бр,56,0
бревно,4240,log,бревно'м,2,FALSE,inst,sg,бр,бр,22,0
бревно,4240,log,бревна',2,FALSE,gen,sg,бр,бр,36,0
брезгливость,653,fastidiousness,брезгли'востью,2,FALSE,inst,sg,бр,бр,69,0
бригадир,2686,foreman,бригади'ром,3,FALSE,inst,sg,бр,бр,42,0
бриллиант,1840,diamond,бриллиа'нтом,3,FALSE,inst,sg,бр,бр,50,0
бриллиант,1840,diamond,бриллиа'нтами,3,FALSE,inst,pl,бр,бр,113,0
бруствер,585,parapet,бру'ствера,1,FALSE,gen,sg,бр,бр,24,0
брюхо,2431,belly,брю'хом,1,FALSE,inst,sg,бр,бр,25,0
введение,6573,Introduction,введе'нием,2,FALSE,inst,sg,вв,вв,329,10
ввод,1821,input,вво'дом,1,FALSE,inst,sg,вв,вв,74,0
вдохновение,2726,inspiration,вдохнове'нием,3,FALSE,inst,sg,вд,вд,63,1
взвод,4308,platoon,взво'дом,1,FALSE,inst,sg,вз,взв,6,58
взгляд,52915,view,взгля'дом,1,FALSE,inst,sg,вз,взгл,25,112
взгляд,52915,view,взгля'дами,1,FALSE,inst,pl,вз,взгл,16,90
вздох,4841,sigh,вздо'хами,1,FALSE,inst,pl,вз,взд,1,32
взор,8079,gaze,взо'ром,1,FALSE,inst,sg,вз,вз,3,32
взрослый,12467,adult,взро'слым,1,FALSE,inst,sg,вз,взр,10,96
взрослый,12467,adult,взро'слыми,1,FALSE,inst,pl,вз,взр,17,236
взрыв,8852,explosion,взры'вом,1,FALSE,inst,sg,вз,взр,6,40
взрыв,8852,explosion,взры'вами,1,FALSE,inst,pl,вз,взр,2,23
взятие,1963,taking,взя'тием,1,FALSE,inst,sg,вз,вз,2,31
взяток,2860,bribes,взя'тками,1,FALSE,inst,pl,вз,вз,0,24
включение,2628,inclusion,включе'нием,2,FALSE,inst,sg,вк,вкл,98,47
вкус,13349,taste,вку'сом,1,FALSE,inst,sg,вк,вк,3,735
владелец,8626,owner,владе'льцем,2,FALSE,inst,sg,вл,вл,77,0
владелец,8626,owner,владе'льцами,2,FALSE,inst,pl,вл,вл,40,0
владелец,8626,owner,владе'льцев,2,FALSE,gen,pl,вл,вл,28,0
власть,67217,power,вла'стью,1,FALSE,inst,sg,вл,вл,440,17
власть,67217,power,властя'ми,2,FALSE,inst,pl,вл,вл,187,2
влияние,24926,influence,влия'нием,2,FALSE,inst,sg,вл,вл,80,3
внедрение,3310,introduction,внедре'нием,2,FALSE,inst,sg,вн,вн,76,0
внешность,3403,appearance,вне'шностью,1,FALSE,inst,sg,вн,вн,85,2
внимание,49696,attention,внима'нием,2,FALSE,inst,sg,вн,вн,88,348
внук,5545,grandson,вну'ком,1,FALSE,inst,sg,вн,вн,111,8
внук,5545,grandson,вну'ками,1,FALSE,inst,pl,вн,вн,60,3
враг,25625,enemy,враго'м,2,FALSE,inst,sg,вр,вр,322,9
враг,25625,enemy,врага'ми,2,FALSE,inst,pl,вр,вр,367,6
врач,23717,doctor,врачо'м,2,FALSE,inst,sg,вр,вр,243,1
врач,23717,doctor,врача'ми,2,FALSE,inst,pl,вр,вр,124,0
вред,5542,harm,вредо'м,2,FALSE,inst,sg,вр,вр,12,14
вредитель,1252,pest,вреди'телями,2,FALSE,inst,pl,вр,вр,80,0
время,349141,time,времена'ми,3,FALSE,inst,pl,вр,вр,15,7
встречный,4300,counter,встре'чным,1,FALSE,inst,sg,вс,встр,4,25
встречный,4300,counter,встре'чными,1,FALSE,inst,pl,вс,встр,6,24
вступление,4786,entry,вступле'нием,2,FALSE,inst,sg,вс,вст,73,126
вступление,4786,entry,вступле'ния,2,FALSE,gen,sg,вс,вст,4,20
вторник,3272,Tuesday,вто'рника,1,FALSE,gen,sg,вт,вт,1,49
вход,10375,login,вхо'дом,1,FALSE,inst,sg,вх,вх,19,33
гвоздь,4118,nail,гвоздём,2,FALSE,inst,sg,гв,гв,34,0
гвоздь,4118,nail,гвоздя'ми,2,FALSE,inst,pl,гв,гв,65,0
гвоздь,4118,nail,гвоздя',2,FALSE,gen,sg,гв,гв,132,0
главнокомандующий,4951,Commander,главнокома'ндующим,4,FALSE,inst,sg,гл,гл,52,0
глупость,7652,stupidity,глу'постью,1,FALSE,inst,sg,гл,гл,25,0
гнев,7287,anger,гне'вом,1,FALSE,inst,sg,гн,гн,270,14
гнездо,4875,nest,гнездо'м,2,FALSE,inst,sg,гн,гн,24,0
гнездо,4875,nest,гнезда',2,FALSE,gen,sg,гн,гн,32,0
град,3979,hail,гра'дом,1,FALSE,inst,sg,гр,гр,62,0
гражданин,24939,citizen,граждани'ном,3,FALSE,inst,sg,гр,гр,46,0
гражданин,24939,citizen,гра'жданами,1,FALSE,inst,pl,гр,гр,87,0
гражданин,24939,citizen,гра'ждан,1,FALSE,gen,pl,гр,гр,40,0
гранат,2756,garnet,грана'тами,2,FALSE,inst,pl,гр,гр,42,0
граф,22652,graph,гра'фом,1,FALSE,inst,sg,гр,гр,483,0
график,3091,schedule,гра'фиком,1,FALSE,inst,sg,гр,гр,40,0
графин,1745,carafe,графи'ном,2,FALSE,inst,sg,гр,гр,59,0
гребень,3207,crest,гре'бнем,1,FALSE,inst,sg,гр,гр,23,0
гребень,3207,crest,гре'бня,1,FALSE,gen,sg,гр,гр,57,0
грек,5371,Greek,гре'ками,1,FALSE,inst,pl,гр,гр,145,2
грех,17017,sin,грехо'м,2,FALSE,inst,sg,гр,гр,352,10
грех,17017,sin,греха'ми,2,FALSE,inst,pl,гр,гр,30,1
гриб,5262,mushroom,гриба'ми,2,FALSE,inst,pl,гр,гр,181,0
грипп,2675,flu,гри'ппом,1,FALSE,inst,sg,гр,гр,38,0
гриф,816,vulture,гри'фом,1,FALSE,inst,sg,гр,гр,78,0
грохот,3974,crash,гро'хотом,1,FALSE,inst,sg,гр,гр,813,0
грубость,1868,rudeness,гру'бостью,1,FALSE,inst,sg,гр,гр,21,0
груз,6919,cargo,гру'зом,1,FALSE,inst,sg,гр,гр,296,0
груз,6919,cargo,гру'зами,1,FALSE,inst,pl,гр,гр,37,0
грузовик,3718,truck,грузовико'м,4,FALSE,inst,sg,гр,гр,22,0
грузовик,3718,truck,грузовика',4,FALSE,gen,sg,гр,гр,43,0
грусть,3889,melancholy,гру'стью,1,FALSE,inst,sg,гр,гр,926,0
двигатель,8943,engine,дви'гателем,1,FALSE,inst,sg,дв,дв,162,0
двигатель,8943,engine,дви'гателями,1,FALSE,inst,pl,дв,дв,67,0
движение,51390,movement,движе'нием,2,FALSE,inst,sg,дв,дв,210,1
движение,51390,movement,движе'ниями,2,FALSE,inst,pl,дв,дв,39,0
